MSINI,A,ECC,K,STAR
mjupiter,au,,m/s,
,0.717595,0.094434,,Kepler-62
,0.426299,0.13,,Kepler-62
,0.119499,0.0948683,,Kepler-62
,0.0928559,0.186815,,Kepler-62
,0.0552794,0.0707107,,Kepler-62
,0.062026,0,,Kepler-619
,0.022851,0,,Kepler-619
,0.0466872,0,,Kepler-618
,0.0221208,0,,Kepler-617
,0.391589,0,,Kepler-616
,0.0902152,0,,Kepler-616
,0.0837217,0,,Kepler-615
,0.107866,0,,Kepler-614
,0.122297,0,,Kepler-613
,0.0466887,0,,Kepler-612
,0.0355594,0,,Kepler-611
,0.575052,0,,Kepler-610
,0.0739053,0,,Kepler-610
,0.257458,0,,Kepler-61
,0.070302,0,,Kepler-609
,0.06755,0,,Kepler-608
,0.0136874,0,,Kepler-607
,0.17109,0,,Kepler-606
,0.0427433,0,,Kepler-605
,0.0336073,0,,Kepler-605
,0.172254,0,,Kepler-604
,0.498476,0,,Kepler-603
,0.149715,0,,Kepler-603
,0.0663906,0,,Kepler-603
,0.123667,0,,Kepler-602
,0.0569124,0,,Kepler-601
,0.152252,0,,Kepler-600
,0.105629,,,Kepler-60
,0.0871504,,,Kepler-60
,0.0750769,,,Kepler-60
0.668332,0.0456089,0,80.9,Kepler-6
,0.115101,0,,Kepler-599
,0.0447079,0,,Kepler-598
,0.107239,0,,Kepler-597
,0.160247,0,,Kepler-596
,0.161025,0,,Kepler-595
,0.1083,0,,Kepler-594
,0.153888,0,,Kepler-593
,0.0395795,0,,Kepler-592
,0.363183,0,,Kepler-591
,0.0656127,0,,Kepler-590
,0.136086,,,Kepler-59
,0.103167,,,Kepler-59
,0.121794,0,,Kepler-589
,0.0512901,0,,Kepler-588
,0.093804,0,,Kepler-587
,0.0314856,0,,Kepler-586
,0.037917,0,,Kepler-585
,0.221415,0,,Kepler-584
,0.0668402,0,,Kepler-583
,0.133586,0,,Kepler-582
,0.23121,0,,Kepler-581
,0.069764,0,,Kepler-580
,0.229287,,,Kepler-58
,0.119982,,,Kepler-58
,0.0905953,,,Kepler-58
,0.0885238,0,,Kepler-579
,0.0257374,0,,Kepler-578
,0.156872,0,,Kepler-577
,0.18795,0,,Kepler-576
,0.0861587,0,,Kepler-575
,0.0747518,0,,Kepler-574
,0.153993,0,,Kepler-573
,0.122576,0,,Kepler-572
,0.0543472,0,,Kepler-571
,0.0505272,0,,Kepler-570
,0.0942979,,,Kepler-57
,0.0588891,,,Kepler-57
,0.202661,0,,Kepler-569
,0.0794218,0,,Kepler-568
,0.119888,0,,Kepler-567
,0.128317,0,,Kepler-566
,0.0509544,0,,Kepler-565
,0.0464443,0,,Kepler-564
,0.143439,0,,Kepler-563
,0.13125,0,,Kepler-562
,0.290481,0,,Kepler-561
,0.0590575,0,,Kepler-561
,0.0954693,0,,Kepler-560
,0.167568,,,Kepler-56
,0.104248,,,Kepler-56
,0.130567,0,,Kepler-559
,0.175021,0,,Kepler-558
,0.048527,0,,Kepler-557
,0.100994,0,,Kepler-556
,0.126633,0,,Kepler-555
,0.0293274,0,,Kepler-554
,0.905726,0,,Kepler-553
,0.0482066,0,,Kepler-553
,0.0598041,0,,Kepler-552
,0.0907073,0,,Kepler-551
,0.078424,0,,Kepler-550
,0.202122,,,Kepler-55
,0.153688,,,Kepler-55
,0.0920376,,,Kepler-55
,0.0542683,,,Kepler-55
,0.0332158,,,Kepler-55
,0.448737,0,,Kepler-549
,0.230006,0,,Kepler-549
,0.0517147,0,,Kepler-548
,0.0595534,0,,Kepler-547
,0.0523044,0,,Kepler-546
,0.111023,0,,Kepler-545
,0.158582,0,,Kepler-544
,0.100456,0,,Kepler-543
,0.1064,0,,Kepler-542
,0.0648523,0,,Kepler-541
,0.610956,0,,Kepler-540
,0.148945,,,Kepler-54
,0.0822829,,,Kepler-54
,0.0626016,,,Kepler-54
,0.498966,0,,Kepler-539
